Year,Name,Ladder Score
2021,Finland,7.842
2021,Denmark,7.620
2021,Switzerland,7.571
2021,Iceland,7.554
2021,Netherlands,7.464
2021,Norway,7.392
2021,Sweden,7.363
2021,Luxembourg,7.324
2021,New Zealand,7.277
2021,Austria,7.268
2021,Australia,7.183
2021,Israel,7.157
2021,Germany,7.155
2021,Canada,7.103
2021,Ireland,7.085
2021,Costa Rica,7.069
2021,United Kingdom,7.064
2021,Czech Republic,6.965
2021,United States,6.951
2021,Belgium,6.834
2021,France,6.690
2021,Bahrain,6.647
2021,Malta,6.602
2021,Taiwan Province of China,6.584
2021,United Arab Emirates,6.561
2021,Saudi Arabia,6.494
2021,Spain,6.491
2021,Italy,6.483
2021,Slovenia,6.461
2021,Guatemala,6.435
2021,Uruguay,6.431
2021,Singapore,6.377
2021,Kosovo,6.372
2021,Slovakia,6.331
2021,Brazil,6.330
2021,Mexico,6.317
2021,Jamaica,6.309
2021,Lithuania,6.255
2021,Cyprus,6.223
2021,Estonia,6.189
2021,Panama,6.180
2021,Uzbekistan,6.179
2021,Chile,6.172
2021,Poland,6.166
2021,Kazakhstan,6.152
2021,Romania,6.140
2021,Kuwait,6.106
2021,Serbia,6.078
2021,El Salvador,6.061
2021,Mauritius,6.049
2021,Latvia,6.032
2021,Colombia,6.012
2021,Hungary,5.992
2021,Thailand,5.985
2021,Nicaragua,5.972
2021,Japan,5.940
2021,Argentina,5.929
2021,Portugal,5.929
2021,Honduras,5.919
2021,Croatia,5.882
2021,Philippines,5.880
2021,South Korea,5.845
2021,Peru,5.840
2021,Bosnia and Herzegovina,5.813
2021,Moldova,5.766
2021,Ecuador,5.764
2021,Kyrgyzstan,5.744
2021,Greece,5.723
2021,Bolivia,5.716
2021,Mongolia,5.677
2021,Paraguay,5.653
2021,Montenegro,5.581
2021,Dominican Republic,5.545
2021,North Cyprus,5.536
2021,Belarus,5.534
2021,Russia,5.477
2021,Hong Kong S.A.R. of China,5.477
2021,Tajikistan,5.466
2021,Vietnam,5.411
2021,Libya,5.410
2021,Malaysia,5.384
2021,Indonesia,5.345
2021,Congo (Brazzaville),5.342
2021,China,5.339
2021,Ivory Coast,5.306
2021,Armenia,5.283
2021,Nepal,5.269
2021,Bulgaria,5.266
2021,Maldives,5.198
2021,Azerbaijan,5.171
2021,Cameroon,5.142
2021,Senegal,5.132
2021,Albania,5.117
2021,North Macedonia,5.101
2021,Ghana,5.088
2021,Niger,5.074
2021,Turkmenistan,5.066
2021,Gambia,5.051
2021,Benin,5.045
2021,Laos,5.030
2021,Bangladesh,5.025
2021,Guinea,4.984
2021,South Africa,4.956
2021,Turkey,4.948
2021,Pakistan,4.934
2021,Morocco,4.918
2021,Venezuela,4.892
2021,Georgia,4.891
2021,Algeria,4.887
2021,Ukraine,4.875
2021,Iraq,4.854
2021,Gabon,4.852
2021,Burkina Faso,4.834
2021,Cambodia,4.830
2021,Mozambique,4.794
2021,Nigeria,4.759
2021,Mali,4.723
2021,Iran,4.721
2021,Uganda,4.636
2021,Liberia,4.625
2021,Kenya,4.607
2021,Tunisia,4.596
2021,Lebanon,4.584
2021,Namibia,4.574
2021,Palestinian Territories,4.517
2021,Myanmar,4.426
2021,Jordan,4.395
2021,Chad,4.355
2021,Sri Lanka,4.325
2021,Swaziland,4.308
2021,Comoros,4.289
2021,Egypt,4.283
2021,Ethiopia,4.275
2021,Mauritania,4.227
2021,Madagascar,4.208
2021,Togo,4.107
2021,Zambia,4.073
2021,Sierra Leone,3.849
2021,India,3.819
2021,Burundi,3.775
2021,Yemen,3.658
2021,Tanzania,3.623
2021,Haiti,3.615
2021,Malawi,3.600
2021,Lesotho,3.512
2021,Botswana,3.467
2021,Rwanda,3.415
2021,Zimbabwe,3.145
2021,Afghanistan,2.523
2020,Finland,7.809
2020,Denmark,7.646
2020,Switzerland,7.560
2020,Iceland,7.504
2020,Norway,7.488
2020,Netherlands,7.449
2020,Sweden,7.353
2020,New Zealand,7.300
2020,Austria,7.294
2020,Luxembourg,7.238
2020,Canada,7.232
2020,Australia,7.223
2020,United Kingdom,7.165
2020,Israel,7.129
2020,Costa Rica,7.121
2020,Ireland,7.094
2020,Germany,7.076
2020,United States,6.940
2020,Czech Republic,6.911
2020,Belgium,6.864
2020,United Arab Emirates,6.791
2020,Malta,6.773
2020,France,6.664
2020,Mexico,6.465
2020,Taiwan Province of China,6.455
2020,Uruguay,6.440
2020,Saudi Arabia,6.406
2020,Spain,6.401
2020,Guatemala,6.399
2020,Italy,6.387
2020,Singapore,6.377
2020,Brazil,6.376
2020,Slovenia,6.363
2020,El Salvador,6.348
2020,Kosovo,6.325
2020,Panama,6.305
2020,Slovakia,6.281
2020,Uzbekistan,6.258
2020,Chile,6.228
2020,Bahrain,6.227
2020,Lithuania,6.215
2020,Trinidad and Tobago,6.192
2020,Poland,6.186
2020,Colombia,6.163
2020,Cyprus,6.159
2020,Nicaragua,6.137
2020,Romania,6.124
2020,Kuwait,6.102
2020,Mauritius,6.101
2020,Kazakhstan,6.058
2020,Estonia,6.022
2020,Philippines,6.006
2020,Hungary,6.000
2020,Thailand,5.999
2020,Argentina,5.975
2020,Honduras,5.953
2020,Latvia,5.950
2020,Ecuador,5.925
2020,Portugal,5.911
2020,Jamaica,5.890
2020,South Korea,5.872
2020,Japan,5.871
2020,Peru,5.797
2020,Serbia,5.778
2020,Bolivia,5.747
2020,Pakistan,5.693
2020,Paraguay,5.692
2020,Dominican Republic,5.689
2020,Bosnia and Herzegovina,5.674
2020,Moldova,5.608
2020,Tajikistan,5.556
2020,Montenegro,5.546
2020,Russia,5.546
2020,Kyrgyzstan,5.542
2020,Belarus,5.540
2020,North Cyprus,5.536
2020,Greece,5.515
2020,Hong Kong S.A.R. of China,5.510
2020,Croatia,5.505
2020,Libya,5.489
2020,Mongolia,5.456
2020,Malaysia,5.384
2020,Vietnam,5.353
2020,Indonesia,5.286
2020,Ivory Coast,5.233
2020,Benin,5.216
2020,Maldives,5.198
2020,Congo (Brazzaville),5.194
2020,Azerbaijan,5.165
2020,North Macedonia,5.160
2020,Ghana,5.148
2020,Nepal,5.137
2020,Turkey,5.132
2020,China,5.124
2020,Turkmenistan,5.119
2020,Bulgaria,5.102
2020,Morocco,5.095
2020,Cameroon,5.085
